,Day,dailyHigh,dailyLow,Volume,adjustedClose,10pdown
0,1.0,103.910004,103.010002,2546300.0,103.720001,0.0
1,2.0,103.669998,102.739998,5463000.0,103.489998,0.0
2,3.0,102.879997,101.150002,5553600.0,102.709999,0.0
3,4.0,102.919998,100.849998,8142900.0,101.580002,0.0
4,5.0,103.080002,101.949997,14069300.0,101.949997,0.0
5,6.0,105.260002,103.629997,8712800.0,103.639999,0.0
6,7.0,105.489998,103.519997,8121500.0,105.25,0.0
7,8.0,104.690002,102.650002,9203600.0,104.129997,0.0
8,9.0,102.290001,100.779999,10561800.0,102.150002,0.0
9,10.0,102.370003,101.43,7732700.0,101.68,0.0
10,11.0,103.339996,101.800003,6462500.0,102.639999,0.0
11,12.0,103.339996,101.669998,7947000.0,102.150002,0.0
12,13.0,103.239998,101.910004,8005400.0,102.419998,0.0
13,14.0,103.489998,102.599998,7262900.0,103.32,0.0
14,15.0,103.0,101.279999,7845400.0,102.949997,0.0
15,16.0,102.370003,100.309998,12008700.0,100.790001,0.0
16,17.0,102.93,101.989998,6623500.0,102.050003,0.0
17,18.0,102.489998,101.120003,7545700.0,102.360001,0.0
18,19.0,102.480003,101.239998,8983700.0,101.239998,0.0
19,20.0,102.620003,101.790001,2353800.0,102.370003,0.0
20,21.0,102.330002,101.959999,5400800.0,101.959999,0.0
21,22.0,102.790001,101.809998,7492400.0,102.040001,0.0
22,23.0,103.0,102.190002,6730600.0,102.769997,0.0
23,24.0,102.800003,102.199997,7671500.0,102.480003,0.0
24,25.0,102.68,102.059998,5164500.0,102.489998,0.0
25,26.0,102.800003,101.309998,7148400.0,102.669998,0.0
26,27.0,101.709999,100.379997,5124000.0,101.5,0.0
27,28.0,101.290001,100.040001,5755800.0,101.220001,0.0
28,29.0,100.940002,99.739998,8517500.0,99.879997,0.0
29,30.0,101.610001,100.220001,6918700.0,100.269997,0.0
30,31.0,102.360001,101.5,6284700.0,101.860001,0.0
31,32.0,101.760002,100.68,5114200.0,101.449997,0.0
32,33.0,101.589996,100.550003,6625900.0,100.839996,0.0
33,34.0,101.919998,100.860001,6221100.0,101.919998,0.0
34,35.0,102.489998,101.419998,6545600.0,102.330002,0.0
35,36.0,102.389999,101.690002,5592300.0,101.940002,0.0
36,37.0,102.300003,101.110001,6229200.0,101.959999,0.0
37,38.0,102.339996,100.839996,6297900.0,102.169998,0.0
38,39.0,102.120003,101.010002,10520300.0,101.029999,0.0
39,40.0,101.529999,100.120003,6340700.0,101.370003,0.0
40,41.0,100.480003,99.5,7256300.0,100.480003,0.0
41,42.0,100.900002,99.699997,8883200.0,100.190002,0.0
42,43.0,100.279999,99.489998,7561600.0,99.940002,0.0
43,44.0,100.879997,99.529999,9178900.0,100.309998,0.0
44,45.0,99.809998,97.129997,9887900.0,99.529999,0.0
45,46.0,98.220001,97.07,7059800.0,97.629997,0.0
46,47.0,98.25,97.309998,6041800.0,97.589996,0.0
47,48.0,98.199997,97.309998,8725400.0,97.940002,0.0
48,49.0,98.309998,97.400002,9110800.0,98.239998,0.0
49,50.0,97.349998,94.860001,9561900.0,97.150002,0.0
50,51.0,95.959999,94.120003,8881900.0,94.529999,0.0
51,52.0,96.230003,94.309998,12761900.0,95.449997,0.0
52,53.0,96.470001,94.980003,8957900.0,95.989998,0.0
53,54.0,95.959999,94.779999,8259700.0,95.370003,0.0
54,55.0,95.199997,93.809998,7090700.0,95.080002,0.0
55,56.0,95.419998,93.440002,9397300.0,94.980003,0.0
56,57.0,94.660004,92.580002,8365200.0,93.419998,0.0
57,58.0,94.82,94.080002,9419200.0,94.760002,0.0
58,59.0,93.970001,91.839996,8368100.0,93.93,0.0
59,60.0,93.849998,91.760002,9675900.0,93.169998,0.0
60,61.0,94.470001,92.589996,10970100.0,93.349998,0.0
61,62.0,93.839996,91.830002,11520000.0,93.040001,0.0
62,63.0,92.07,89.900002,14332800.0,91.370003,0.0
63,64.0,93.129997,90.760002,10794400.0,91.0,0.0
64,65.0,92.940002,91.779999,7407600.0,92.480003,0.0
65,66.0,93.699997,92.559998,5609300.0,92.989998,0.0
66,67.0,93.440002,91.879997,10618700.0,93.239998,0.0
67,68.0,94.599998,92.370003,7053700.0,93.129997,0.0
68,69.0,94.720001,93.25,14211100.0,93.389999,0.0
69,70.0,96.190002,94.32,8258000.0,94.839996,0.0
70,71.0,94.82,93.82,5630400.0,94.610001,0.0
71,72.0,94.75,93.190002,7030700.0,94.400002,0.0
72,73.0,93.910004,92.510002,7948700.0,93.32,0.0
73,74.0,93.0,91.800003,7381300.0,92.93,0.0
74,75.0,93.480003,91.620003,8359500.0,92.720001,0.0
75,76.0,95.160004,92.029999,7384500.0,92.220001,0.0
76,77.0,93.980003,92.510002,11394100.0,93.940002,0.0
77,78.0,91.879997,90.57,10996800.0,91.309998,0.0
78,79.0,94.089996,92.260002,9027200.0,92.639999,0.0
79,80.0,93.470001,92.5,11517400.0,93.349998,0.0
80,81.0,92.889999,91.459999,14593500.0,92.089996,0.0
81,82.0,95.169998,93.580002,9083500.0,93.980003,0.0
82,83.0,96.290001,94.379997,9200300.0,95.169998,0.0
83,84.0,96.400002,94.349998,11131200.0,96.220001,0.0
84,85.0,95.220001,91.459999,14738300.0,95.110001,0.0
85,86.0,95.699997,90.400002,15671100.0,90.730003,0.0
86,87.0,95.209999,81.790001,25636300.0,92.82,0.0
87,88.0,98.519997,95.510002,16141500.0,95.559998,0.0
88,89.0,100.120003,98.790001,10620400.0,98.790001,0.0
89,90.0,99.989998,98.779999,7642400.0,99.309998,0.0
90,91.0,99.68,99.019997,7618800.0,99.370003,0.0
91,92.0,99.879997,98.059998,6901800.0,99.870003,0.0
92,93.0,98.830002,97.870003,5177300.0,98.809998,0.0
93,94.0,98.980003,98.150002,5048000.0,98.480003,0.0
94,95.0,98.730003,97.410004,7462400.0,98.709999,0.0
95,96.0,99.339996,98.769997,6682600.0,99.010002,0.0
96,97.0,100.059998,99.449997,6133500.0,99.790001,0.0
97,98.0,99.07,98.160004,6027900.0,98.849998,0.0
98,99.0,100.599998,99.010002,6988000.0,99.07,0.0
99,100.0,101.0,100.349998,4571300.0,100.519997,0.0
100,101.0,100.5,99.650002,6005300.0,99.800003,0.0
101,102.0,100.209999,99.230003,6172500.0,100.019997,0.0
102,103.0,100.980003,99.959999,6216800.0,100.209999,0.0
103,104.0,100.0,99.379997,5517400.0,99.839996,0.0
104,105.0,100.050003,99.050003,7853500.0,99.730003,0.0
105,106.0,99.230003,98.419998,7757500.0,99.019997,0.0
106,107.0,98.989998,97.919998,8734000.0,98.279999,0.0
107,108.0,99.949997,99.050003,6524200.0,99.150002,0.0
108,109.0,100.599998,100.0,5016100.0,100.199997,0.0
109,110.0,100.709999,99.730003,6721900.0,100.18,0.0
110,111.0,100.809998,100.07,5891600.0,100.339996,0.0
